City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
172,vila do maio,15.1333,-23.2167,31.44,80,15,2.99,CV,1722866877
173,egilsstadir,65.2653,-14.3948,10.15,97,100,4.42,IS,1722866878
174,temiskaming shores,47.4938,-79.7153,17.73,47,54,1.68,CA,1722866879
175,st. john's,47.5649,-52.7093,23.66,88,75,7.72,CA,1722866627
176,filey,54.21,-0.2892,24.6,70,11,6.55,GB,1722866881
177,howard springs,-12.497,131.047,22.95,90,6,1.26,AU,1722866882
178,buenos aires,-34.6132,-58.3772,14.44,82,100,10.73,AR,1722866016
179,rongelap,11.1635,166.8941,28.78,78,100,6.86,MH,1722866884
180,new norfolk,-42.7826,147.0587,11.07,70,100,3.28,AU,1722866757
181,kourou,5.1552,-52.6478,31.03,55,2,3.97,GF,1722866719
182,ndele,8.4109,20.6473,26.68,73,99,2.12,CF,1722866888
183,ancud,-41.8697,-73.8203,7.78,89,100,8.51,CL,1722866885
184,metlili chaamba,32.2667,3.6333,38.7,13,4,0.38,DZ,1722866890
185,coaldale,49.7167,-112.6185,15.08,84,3,1.64,CA,1722866891
186,ghat,24.9647,10.1728,41.73,7,0,4.57,LY,1722866892
187,al ghayzah,16.2079,52.176,26.52,81,14,6.1,YE,1722866894
188,yelovo,57.0538,54.9207,20.24,81,99,2.81,RU,1722866895
189,nova sintra,14.8667,-24.7167,27.24,71,13,1.25,CV,1722866896
190,yeppoon,-23.1333,150.7333,12.88,78,98,3.64,AU,1722866897
191,qaqortoq,60.7167,-46.0333,8.53,71,100,1.77,GL,1722866898
192,algona,43.07,-94.233,24.53,100,0,5.14,US,1722866899
193,polyarnyy,69.1989,33.4478,15.52,58,0,5.02,RU,1722866365
194,urumqi,43.801,87.6005,33.53,17,20,2.0,CN,1722866901
195,shakawe,-18.3667,21.85,32.51,7,0,2.82,BW,1722866902
196,pontiac,42.6389,-83.2911,27.39,79,75,3.6,US,1722866895
197,kievka,50.2619,71.5514,24.96,40,70,3.76,KZ,1722866904
198,levuka,50.1834,-105.4011,15.79,59,100,3.37,CA,1722866905
199,las khorey,11.1595,48.1967,33.38,55,95,2.77,SO,1722866906
200,whitehorse,60.7161,-135.0538,8.78,87,20,1.54,CA,1722866652
201,fort st. john,56.2499,-120.8529,10.94,93,75,3.09,CA,1722866909
202,fortaleza,-3.7227,-38.5247,30.12,71,75,10.29,BR,1722866678
203,richards bay,-28.783,32.0377,19.1,62,100,3.99,ZA,1722866765
204,hammerfest,70.6634,23.6821,24.25,43,0,3.6,NO,1722866912
205,san patricio,28.017,-97.5169,31.03,71,0,0.86,US,1722866914
206,bikenibeu village,1.3673,173.1241,28.58,66,97,5.46,KI,1722866915
207,balqash,46.8481,74.995,27.78,35,100,2.66,KZ,1722866831
208,bereznik,62.8551,42.7072,17.72,75,100,1.82,RU,1722866917
209,realeza,-25.7689,-53.5325,25.23,42,44,3.06,BR,1722866722
210,kawalu,-7.3817,108.2082,20.02,99,33,0.36,ID,1722866919
211,napier,-39.4833,176.9167,2.93,90,85,2.6,NZ,1722866920
212,atafu village,-8.5421,-172.5159,27.84,79,59,2.67,TK,1722866921
213,howrah,22.5892,88.3103,30.0,89,75,4.63,IN,1722866922
214,novodvinsk,64.4165,40.8122,17.86,68,100,3.41,RU,1722866923
215,talnakh,69.4865,88.3972,13.97,49,0,5.7,RU,1722866924
216,port lincoln,-34.7333,135.8667,10.03,82,36,3.08,AU,1722866925
217,kostanay,53.1667,63.5833,25.16,57,0,2.0,KZ,1722866696
218,cestos city,5.46,-9.5828,26.99,73,83,3.9,LR,1722866927
219,vorkuta,67.5,64.0,16.65,46,6,3.43,RU,1722866928
220,gaspe,48.8334,-64.4819,21.35,62,100,0.38,CA,1722866930
221,brookings,44.3114,-96.7984,22.19,97,100,4.63,US,1722866931
222,gadzhiyevo,69.2551,33.3362,14.85,61,0,5.46,RU,1722866662
223,the dalles,45.5946,-121.1787,21.5,59,0,6.17,US,1722866689
224,trujillo,-8.116,-79.03,16.98,88,100,3.6,PE,1722866601
225,tralee,52.2704,-9.7026,17.14,77,75,3.6,IE,1722866936
226,zhangjiakou,40.81,114.8794,23.2,55,0,1.86,CN,1722866937
227,korkuteli,37.065,30.1957,24.7,28,95,2.47,TR,1722866938
228,lata,40.1629,-8.3327,30.27,41,0,5.76,PT,1722866939
229,sint-laureins,51.242,3.5244,26.79,60,0,3.72,BE,1722866940
230,mossel bay,-34.1831,22.146,17.96,47,15,4.84,ZA,1722866488
231,viru,-8.4167,-78.75,20.13,64,20,1.44,PE,1722866898
232,angaur state,6.906,134.13,28.65,74,95,3.46,PW,1722866943
233,jacksonville,30.3322,-81.6556,26.16,94,100,13.89,US,1722866944
234,onguday,50.75,86.15,14.68,84,74,1.2,RU,1722866945
235,ta`u,-14.2336,-169.5144,25.81,75,4,1.43,AS,1722866946
236,kingston,17.997,-76.7936,31.76,66,20,3.09,JM,1722866088
237,ataq,14.5377,46.8319,32.38,32,93,3.15,YE,1722866948
238,sinan,34.8262,126.1086,25.31,88,99,2.43,KR,1722866949
239,walvis bay,-22.9575,14.5053,23.53,38,0,3.6,NA,1722866721
240,chonchi,-42.6128,-73.8092,7.84,95,100,4.52,CL,1722866599
241,mount isa,-20.7333,139.5,19.87,64,20,5.14,AU,1722866953
242,wakkanai,45.4094,141.6739,16.6,95,100,5.73,JP,1722866924
243,kadnikov,59.5022,40.338,20.71,64,74,3.19,RU,1722866955
244,ilulissat,69.2167,-51.1,6.48,63,3,0.82,GL,1722866562
245,tanjung selor,2.8372,117.3642,24.21,97,63,0.62,ID,1722866957
246,codrington,-38.2667,141.9667,5.54,85,12,3.79,AU,1722866543
247,georgetown,5.4112,100.3354,29.97,70,20,1.03,MY,1722866959
248,timberwood park,29.7058,-98.4783,28.59,73,20,1.34,US,1722866960
249,sao jose da coroa grande,-8.8978,-35.1478,26.34,61,8,6.01,BR,1722866961
250,ulsteinvik,62.3432,5.8487,21.5,76,100,2.12,NO,1722866962
251,gilgit,35.9221,74.3087,32.14,38,83,2.93,PK,1722866703
252,barreiro do jaiba,-15.6167,-43.6,27.02,39,1,4.25,BR,1722866832
253,vilyuchinsk,52.9306,158.4028,9.86,90,99,0.39,RU,1722866965
254,naze,28.3667,129.4833,28.51,86,45,4.81,JP,1722866639
255,vila velha,-20.3297,-40.2925,26.97,86,75,3.6,BR,1722866856
256,slave lake,55.2834,-114.769,12.99,100,100,0.0,CA,1722866702
257,ryotsu-minato,38.0833,138.4333,23.46,90,100,2.84,JP,1722866970
258,same,-4.0667,37.7333,28.25,28,74,4.53,TZ,1722866892
259,mejit,10.2753,170.8646,28.27,80,100,6.36,MH,1722866518
260,arraial do cabo,-22.9661,-42.0278,26.92,65,0,7.72,BR,1722866487
261,port alfred,-33.5906,26.891,16.77,50,0,3.13,ZA,1722866590
262,lebu,-37.6167,-73.65,9.54,80,100,2.76,CL,1722866700
263,lake havasu city,34.4839,-114.3224,38.03,30,45,1.34,US,1722866977
264,saldanha,-33.0117,17.9442,15.03,64,7,4.91,ZA,1722866587
265,kondoa,-4.9,35.7833,28.23,16,1,2.65,TZ,1722866979
266,la spezia,44.1105,9.8434,32.82,63,41,2.24,IT,1722866980
267,ubari,26.5921,12.7805,42.34,7,0,5.57,LY,1722866981
